date,Abate,Abstract,Abysmal,Accordingly,Acquisition,Adapt,Adept,Adequate,Advent,Adversarial,Advocate,Aesthetic,Afford,Agitate,Allow,Allude,Altercation,Ambiguous,Ambitious,Ambivalence,Analogous,Annihilate,Anomaly,Anticipate,Antipathy,Apex,Apprehension,Articulate,Artificial,Assertion,Austere,Authenticity,Avenue,Avid,Basic,Bear,Benevolent,Bias,Bittersweet,Bolster,Boost,Brawl,Brevity,Candid,Candor,Capitalize,Capture,Civic,Clinical,Clout,Coarse,Coincide,Commission,Comparable,Competent,Complacent,Complement,Concede,Conceive,Condone,Conducive,Conduct,Confide,Confine,Consensus,Constitute,Contemplate,Contend,Contradict,Controversial,Conventional,Convey,Conviction,Corroborate,Counteract,Counterargument,Counterproductive,Culmination,Cultivate,Decree,Deference,Deficient,Demonstrate,Demur,Deplete,Desolate,Devise,Dilemma,Diligence,Diminish,Dire,Discord,Disdain,Dismay,Disparage,Dispatch,Diversification,Doctrine,Dominion,Dreary
2018-04-01 00:00:00,38,42,7,27,26,42,25,37,35,24,46,57,48,39,56,10,36,38,40,35,18,34,31,25,28,49,30,29,46,16,43,37,64,42,39,82,52,52,76,33,68,62,29,30,9,29,47,85,34,69,59,39,26,77,40,30,42,37,35,43,26,36,20,29,45,36,25,43,24,34,58,26,43,27,46,10,21,42,36,38,23,35,37,36,27,30,30,42,19,24,68,61,28,24,23,30,25,28,37,29
2018-04-01 01:00:00,21,44,11,17,28,45,32,44,40,26,44,61,50,25,60,20,47,43,35,30,17,49,36,18,20,50,33,34,45,30,57,39,60,41,41,83,48,51,77,46,72,66,24,39,11,28,51,83,37,74,60,33,25,60,40,45,38,35,41,49,41,37,18,22,32,43,26,38,26,41,58,32,42,18,57,28,16,53,56,40,36,42,43,28,38,27,44,44,18,43,62,62,39,41,30,30,19,30,37,21
2018-04-01 02:00:00,42,47,9,28,25,41,33,39,55,23,50,66,50,38,62,13,28,39,42,55,17,45,27,29,29,47,34,34,46,18,65,36,57,44,39,83,44,60,78,65,69,71,35,40,11,30,54,90,38,79,50,47,26,62,43,47,39,51,49,51,29,40,24,19,37,43,26,27,36,44,52,25,43,30,59,22,20,33,49,36,30,42,44,26,26,38,39,50,21,41,79,69,36,28,14,31,20,31,34,33
2018-04-01 03:00:00,30,49,14,23,26,51,40,40,51,34,42,73,60,25,64,22,44,41,51,52,18,50,40,30,24,46,23,31,46,23,73,36,53,51,41,83,54,53,66,43,69,74,37,45,12,29,60,80,37,82,51,34,27,63,45,51,47,44,51,48,37,40,33,17,38,27,30,49,35,40,49,28,54,25,37,17,27,46,47,41,29,48,43,25,50,47,36,53,16,34,66,73,45,44,24,36,32,32,30,49
2018-04-01 04:00:00,32,48,18,30,27,59,47,34,51,28,41,87,64,36,63,29,36,68,59,50,13,41,32,27,29,46,36,32,48,16,74,41,54,50,40,82,46,55,88,59,77,79,43,55,11,32,65,86,40,89,62,42,28,56,46,53,41,43,65,60,44,45,35,29,38,38,43,40,48,45,61,24,51,30,73,6,30,56,60,44,31,62,43,26,42,50,49,57,20,28,79,88,41,40,36,35,35,33,27,44
2018-04-01 05:00:00,42,53,14,38,27,53,34,36,59,39,40,91,60,28,65,37,29,57,60,44,17,62,38,40,30,43,35,38,44,28,53,69,51,55,42,82,46,53,59,49,76,86,58,63,17,31,70,91,38,85,57,41,27,48,48,65,49,53,58,72,35,42,53,15,37,31,43,42,34,61,49,32,51,22,82,8,36,68,52,56,43,51,40,36,53,45,34,53,22,41,82,94,46,52,46,35,20,31,23,72
2018-04-01 06:00:00,48,49,22,40,38,34,45,44,65,26,41,95,65,40,63,36,42,58,68,45,24,60,52,31,31,43,18,43,48,32,53,58,50,49,39,80,53,51,71,34,83,90,40,72,17,32,72,93,46,100,71,54,27,45,33,57,41,64,63,60,40,37,46,50,29,38,41,40,72,62,46,27,60,14,73,0,43,39,52,49,18,48,31,26,27,68,41,68,36,63,70,100,52,26,31,35,22,32,24,38
2018-04-01 07:00:00,23,51,15,22,29,34,40,51,47,44,44,92,60,12,67,26,60,71,59,59,11,76,48,30,44,41,21,52,51,16,56,61,48,53,42,76,59,59,49,26,86,75,67,78,8,18,78,89,45,69,66,31,24,57,34,69,48,56,77,59,26,44,49,42,50,71,24,23,46,49,59,26,75,33,65,48,13,10,52,62,45,28,18,56,24,49,68,40,36,40,79,100,62,22,7,43,9,30,23,32
2018-04-01 08:00:00,27,41,11,0,38,53,57,27,57,71,56,86,64,17,62,22,34,62,69,28,8,31,35,7,72,43,67,49,46,45,84,38,50,45,40,77,65,52,57,37,89,77,95,84,8,18,73,77,46,99,72,17,32,62,61,70,31,26,68,100,15,52,19,44,50,31,42,25,36,35,47,20,65,38,100,23,36,14,59,28,27,46,44,27,57,59,45,56,34,57,80,96,83,39,0,51,39,29,24,23
2018-04-01 09:00:00,24,46,8,61,46,44,37,39,66,32,70,65,62,98,58,17,61,61,53,33,15,18,35,13,64,49,18,33,51,40,35,34,53,46,41,66,72,47,60,38,91,76,45,84,14,26,76,74,41,52,47,13,37,57,34,56,61,42,67,55,35,46,30,35,21,18,100,39,56,44,51,27,52,11,76,54,0,96,44,52,22,31,16,0,81,49,27,39,24,77,76,70,56,28,100,64,38,43,29,13
