date,noodles,cheap food,ramen,spaghetti,macaroni,instant ramen,instant noodles,Cup Noodles,lasagne,udon,rice,beef,tofu,pork,salt,bread,potato,onion,cheese,eggs
2018-04-01 00:00:00,76,87,79,63,53,31,40,37,65,79,96,79,80,74,91,68,65,84,74,86
2018-04-01 01:00:00,69,73,76,52,50,45,35,47,51,64,83,70,68,64,89,62,56,83,67,79
2018-04-01 02:00:00,56,72,68,44,40,39,28,34,37,59,73,60,62,54,91,55,48,65,57,68
2018-04-01 03:00:00,44,51,63,38,35,38,34,32,39,56,63,53,58,51,89,49,43,58,50,58
2018-04-01 04:00:00,41,47,61,34,33,43,39,55,39,50,59,51,54,43,88,44,38,58,46,49
2018-04-01 05:00:00,35,48,59,30,30,56,38,68,40,51,51,44,49,38,84,39,33,54,40,42
2018-04-01 06:00:00,36,37,55,25,25,44,29,48,38,45,51,44,53,35,90,36,29,51,36,36
2018-04-01 07:00:00,34,51,55,25,25,58,32,42,37,30,50,47,48,35,75,34,28,50,35,30
2018-04-01 08:00:00,35,48,43,38,25,100,30,60,46,48,50,46,56,36,76,38,28,56,36,29
2018-04-01 09:00:00,38,53,36,26,34,20,72,71,39,57,48,52,47,46,73,49,36,53,39,32
2018-04-01 10:00:00,28,41,24,28,57,34,46,72,60,12,44,64,28,66,67,70,49,67,55,45
2018-04-01 11:00:00,29,31,24,29,75,15,41,26,91,15,54,82,51,85,65,97,70,75,76,73
2018-04-01 12:00:00,32,28,24,32,93,21,41,16,81,20,61,85,46,94,70,100,87,79,90,94
2018-04-01 13:00:00,38,27,29,42,92,7,30,27,69,13,64,87,49,94,77,94,89,84,94,100
2018-04-01 14:00:00,42,43,34,47,95,27,21,16,76,23,70,87,59,96,85,90,94,89,95,99
2018-04-01 15:00:00,52,46,47,47,99,27,33,17,93,27,77,93,64,99,88,89,98,91,100,97
2018-04-01 16:00:00,62,54,56,54,100,31,30,34,100,39,82,99,70,99,92,85,100,93,100,90
2018-04-01 17:00:00,64,50,59,57,96,27,45,42,87,45,82,100,83,100,93,80,96,100,97,81
2018-04-01 18:00:00,66,63,62,58,87,41,43,37,100,50,83,98,74,96,95,73,91,89,88,71
2018-04-01 19:00:00,67,69,62,62,76,38,30,50,95,48,84,97,79,94,94,69,86,89,82,62
2018-04-01 20:00:00,68,73,64,67,67,23,52,40,85,58,85,96,87,95,92,66,81,86,77,54
2018-04-01 21:00:00,74,70,67,74,55,25,55,32,71,71,90,95,93,94,94,65,77,87,69,48
2018-04-01 22:00:00,84,82,73,76,46,42,34,46,63,78,90,87,100,85,92,63,68,80,64,42
2018-04-01 23:00:00,84,76,74,72,35,43,57,45,72,74,87,77,92,76,92,59,57,77,55,36
2018-04-02 00:00:00,71,62,69,60,27,42,50,46,44,68,81,63,83,55,91,51,45,64,46,30
2018-04-02 01:00:00,60,72,61,49,22,56,32,35,32,51,71,53,68,42,90,43,35,59,38,26
2018-04-02 02:00:00,45,55,57,41,18,53,31,41,43,42,61,45,61,33,88,37,29,51,34,22
2018-04-02 03:00:00,39,47,56,35,15,42,27,48,20,39,56,39,58,28,93,34,26,46,30,20
2018-04-02 04:00:00,38,49,52,31,14,76,43,62,32,48,52,38,58,25,92,31,23,46,28,18
2018-04-02 05:00:00,36,52,56,28,10,87,47,61,23,55,50,37,57,22,86,30,21,43,27,16
